30.67 4 80 3 400 1 1
34.23 3 80 2 800 2 0.79
36.11 3 80 9 400 2 0.44
31.98 1 20 2 400 2 0.15
36.22 4 20 1 800 4 0.12
39.39 3 20 6 800 2 0.55
31.02 2 40 7 400 2 0.38
27.81 1 80 9 400 1 0
33.12 2 40 8 800 1 0.39
34.76 4 20 2 400 2 0.2
32.72 3 40 7 400 1 1
31.05 3 80 9 800 3 0
28.55 2 80 1 400 2 0.56
41.14 3 80 3 400 3 1
33.62 2 40 9 400 4 1
32.61 4 40 9 800 3 0.27
28.49 4 40 2 800 3 0.14
42.1 3 20 2 800 3 0.09
37.65 2 20 1 400 4 0.09
35.66 2 40 7 800 4 0.24
38.87 3 20 1 800 1 0.08
28.77 1 40 9 400 1 0
25.84 3 80 7 400 4 0
33.19 1 20 5 800 4 0.17
43.97 4 80 5 800 4 0.27
41.38 1 20 8 400 4 0.21
27.23 4 20 0 400 4 0.04
33.02 4 40 9 800 3 0.6
43.81 3 80 0 400 3 0.12
38.92 3 40 8 400 3 0.25
42.03 4 80 9 400 3 1
25.51 2 80 6 800 4 0
30.54 3 40 2 800 2 0.12
43.4 3 20 0 800 3 0.02
35.82 3 20 5 800 3 0.08
24.03 2 80 4 400 3 0.13
33.6 4 40 5 800 2 0.3
32.25 1 20 7 400 2 0.09
30.13 3 80 6 800 2 0.13
42.38 2 40 7 400 2 0.12
29.18 2 80 6 400 2 0.13
35.5 1 80 6 800 2 0.13
27.55 2 40 6 400 2 0.12
27.73 1 40 9 400 2 0
37.68 4 40 9 400 1 0.42
39.84 4 40 7 400 1 0.34
35.49 4 40 2 400 2 0.13
40.94 4 20 2 800 2 0.04
36.03 1 40 2 400 1 0.12
33.94 3 40 8 800 1 0.12
36.41 2 20 1 800 4 0.04
37.14 2 80 8 800 4 0.14
36.91 1 40 2 800 4 0.07
42.66 2 40 2 800 4 0.07
27.11 3 40 2 400 4 0.07
40.56 3 80 6 800 2 0.62
30.73 2 40 2 400 4 0.13
29.84 2 80 1 800 4 0.17
43.7 3 20 8 800 4 0.1
25.96 2 80 2 400 4 0.1
